Name,X,Y,Angle,Value,Package
C1,11.61,11.55,270.00,0.1uF,0603
C2,6.16,2.42,270.00,0.1uF,0603
IC1,8.89,6.99,0.00,OPA1612AIDR,SOIC127P600X175-8N
