Comment,Designator,Footprint,JLCPCB Part #（optional）
TL074HIDYYR,"IC1,IC2",SOP50P326X110-14N,C5116353
10uf,"C1, C2",1206,C13585
.1uf,"C3, C4, C5, C6, C7, C8, C9, C10",0402,C307331
100K,"R1, R3, R5, R9, R10, R14, R16, R19, R20, R22",0402,C25741
100R,"R2, R4, R12, R24",0402,C25076
3.6k,"R6, R25",0402,C100645
10k,"R11, R23",0402,C25744
220R,"R7, R13",0402,C25091
22k,"R8, R15, R18, R21",0402,C25768
