Comment,Designator,Footprint,JLCPCB Part #（optional）
0.1uF,C3,0402,C307331
0.1uF,C4,0402,C307331
TL072BIDT,IC1,SOIC-8,C6961
120k,R1,0603,C25808
120k,R2,0603,C25808
120k,R3,0603,C25808
120k,R4,0603,C25808
120k,R5,0603,C25808
120k,R6,0603,C25808
1k,R7,0402,C11702
1k,R8,0402,C11702
