Name,X,Y,Angle,Value,Package
INV_OUT,14.73,7.59,0.00,THONKICONNNEW,WQP-PJ301M-12_JACK
IN_1,14.73,47.51,0.00,THONKICONNNEW,WQP-PJ301M-12_JACK
IN_2,4.83,47.51,0.00,THONKICONNNEW,WQP-PJ301M-12_JACK
IN_3,9.78,33.54,0.00,THONKICONNNEW,WQP-PJ301M-12_JACK
OUT,4.83,7.59,0.00,THONKICONNNEW,WQP-PJ301M-12_JACK
VR1,9.78,96.83,0.00,50k,9MM_SNAP-IN_POT
VR2,9.78,81.59,0.00,50k,9MM_SNAP-IN_POT
VR3,9.78,66.35,0.00,50k,9MM_SNAP-IN_POT
