Designator,Mid X,Mid Y,Layer,Rotation
C1,19.02,45.75,Top,270
C10,11.43,29.85,Top,90
C11,9.01,30.48,Top,90
C2,18.41,18.41,Top,90
C3,24.77,45.09,Top,270
C4,23.37,4.45,Top,270
C5,13.34,39.37,Top,90
C6,10.16,45.75,Top,90
C9,17.14,34.93,Top,180
FB1,10.16,24.77,Top,0
FB2,12.07,19.05,Top,270
FB3,6.99,38.73,Top,90
IC2,17.14,29.85,Top,0
