Designator,Mid X,Mid Y,Layer,Rotation
C3,5.08,55.88,Top,180
C4,15.24,59.69,Top,0
IC1,10.16,57.79,Top,0
R1,9.78,88.9,Top,270
R2,9.78,73.66,Top,270
R3,9.78,66.04,Top,90
R4,5.08,59.18,Top,90
R5,5.58,61.46,Top,0
R6,16.51,55.88,Top,90
R7,17.78,15.24,Top,270
R8,1.34,15.24,Top,270
