Name,X,Y,Angle,Value,Package
C1,11.43,11.55,270.00,0.1uF,0603
C2,6.15,2.42,270.00,0.1uF,0603
IC1,8.64,6.99,0.00,OPA1656IDR,SOIC127P600X175-8N
JP1,2.54,7.11,270.00,PINHD-1X5,1X05
JP2,15.24,7.11,270.00,PINHD-1X5,1X05
